Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2016-05-25,16,19,19,18,19,19,19,21,22,22,22,24,15,16,9,4,6,8,14,18,20,19,13,16
31103,Fine Particulate Matter,2016-05-26,25,27,28,27,28,27,29,25,22,20,20,16,15,14,12,10,15,21,20,18,18,17,18,15
31103,Fine Particulate Matter,2016-05-27,16,22,21,18,20,25,17,12,13,14,13,13,11,10,6,4,4,5,5,6,7,8,8,5
31103,Fine Particulate Matter,2016-05-28,7,10,14,21,24,19,20,19,11,8,10,13,14,13,15,15,18,18,21,22,21,18,15,15
31103,Fine Particulate Matter,2016-05-29,15,15,20,19,19,18,16,16,16,14,16,15,15,15,15,16,14,12,12,10,9,7,5,6
31103,Fine Particulate Matter,2016-05-30,7,12,9,9,8,8,9,9,5,2,1,1,1,0,1,0,1,3,3,3,7,8,12,3
31103,Fine Particulate Matter,2016-05-31,5,5,5,6,5,7,10,9,9,6,4,3,3,2,2,1,1,1,2,2,1,1,1,1
31103,Fine Particulate Matter,2016-06-01,2,3,3,3,2,3,2,1,2,1,2,1,2,2,2,3,3,2,3,2,3,3,2,2
31103,Fine Particulate Matter,2016-06-02,2,1,1,2,4,4,3,4,12,12,9,10,13,9,9,7,7,7,9,10,11,8,7,6
31103,Fine Particulate Matter,2016-06-03,7,14,13,11,10,11,8,6,8,13,9,11,10,8,8,8,7,4,10,13,4,3,3,2
31103,Fine Particulate Matter,2016-06-04,2,3,3,3,3,3,3,5,11,6,2,3,2,1,2,4,3,5,7,10,6,5,4,3
31103,Fine Particulate Matter,2016-06-05,1,1,5,6,7,6,5,10,7,6,5,5,7,7,7,4,5,5,6,3,2,1,0,0
31103,Fine Particulate Matter,2016-06-06,0,0,1,1,2,3,5,4,2,2,2,2,2,3,2,3,3,3,2,1,2,2,5,5
31103,Fine Particulate Matter,2016-06-07,6,8,14,9,10,8,4,2,2,1,1,2,3,4,4,4,4,6,7,6,5,4,3,3
